0.005,346.9
0.01,205.0
0.015,187.9
0.02,186.6
0.025,197.8
0.03,211.9
0.035,196.6
0.04,197.2
0.045,200.5
0.05,193.1
0.055,190.3
0.06,195.1
0.065,231.2
0.07,222.5
0.075,262.9
0.08,212.4
0.085,228.4
0.09,205.9
0.095,209.5
0.1,180.7
0.105,201.8
0.11,198.9
0.115,189.7
0.12,204.8
0.125,187.9
0.13,197.5
0.135,228.5
0.14,196.2
0.145,198.7
0.15,223.8
0.155,192.0
0.16,202.6
0.165,194.9
0.17,240.1
0.175,211.8
0.18,193.6
0.185,194.9
0.19,193.7
0.195,214.3
0.2,191.5
0.205,195.2
0.21,186.9
0.215,190.3
0.22,192.5
0.225,189.7
0.23,198.1
0.235,190.7
0.24,204.2
0.245,200.4
0.25,202.3
